"Variable"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"
"bio19"	"-0.166209268633421"	"0.227163742573078"	"0.177787518377675"	"-0.290328092399149"	"0.0709161066974952"	"-0.177393725025758"	"-0.167932387277588"	"-0.216926273342465"	"-0.176569719128855"	"-0.356148009833705"	"0.284112690203681"	"0.183714807415602"	"-0.154013138005165"	"-0.0916307858339962"	"0.441273540521313"	"-0.347226159486774"	"0.0130442010996908"	"-0.0324569002540551"	"-0.0571631314692316"	"-0.160347721631897"	"0.183277857089378"	"-0.0508852482277142"	"0.0629393237319731"	"-0.0299503252062762"	"0.0443802255795854"	"0.0034192786646833"	"1.20899926187713e-09"
"bio2"	"0.187559515481532"	"0.106114900294156"	"-0.274988579017539"	"-0.228136950575274"	"0.247559389006083"	"-0.304838280906422"	"0.526743694466714"	"0.140408303411362"	"0.0486190279985386"	"-0.0569788261857739"	"0.0345898928593713"	"-0.0389144388543459"	"0.394081107228765"	"0.0315011267631941"	"0.0996578818592293"	"-0.176784411850479"	"-0.00369048688581472"	"-0.174923358577814"	"0.207334622493046"	"0.26324038283679"	"0.144797311675479"	"-0.0586899514590145"	"-0.0248317421286859"	"-0.00225774513596759"	"0.0276731833318445"	"0.00439785932291253"	"-9.73906189919465e-10"
"bio28"	"-0.257587049707573"	"0.0554419533225869"	"-0.0161002248428974"	"0.0129041840808225"	"-0.144226529120096"	"0.071669489669382"	"0.136691905544131"	"0.163128172977097"	"-0.08919035011695"	"-0.0992955107363062"	"-0.0543989054164631"	"-0.0360269312204034"	"0.0133132200477485"	"0.122701588799926"	"0.0139038480940827"	"0.292473350034183"	"-0.538308680826717"	"0.121940448727991"	"0.116931619904974"	"-0.0835491728663816"	"0.383001668212758"	"-0.186689952948279"	"0.369815162465997"	"-0.281641448456428"	"0.111256597850559"	"0.0239102591635944"	"1.03140421696187e-08"
"bio29"	"-0.237280333714912"	"0.0841864663205691"	"0.0888100226103024"	"-0.153544468471682"	"-0.298003643850876"	"0.118964412532438"	"0.215400680530762"	"0.0771614861963721"	"0.132216005245649"	"0.00420020368892888"	"-0.187079093256869"	"-0.0141648144459727"	"-0.0130659683066705"	"0.35776497939875"	"0.0739478041412017"	"-0.0556467140941635"	"0.407370851258883"	"-0.0765660371769683"	"-0.0732605787088984"	"-0.109121820606742"	"0.0289718193279325"	"-0.0321252937239716"	"-0.336345836329394"	"-0.489735301068909"	"0.127116577347826"	"0.0179154983483654"	"-9.77856750940592e-09"
"bio3"	"0.136889670278937"	"0.277501652614183"	"-0.0168006849418231"	"-0.00680125659468555"	"0.282839732065485"	"-0.0289449105026967"	"0.446002290700694"	"-0.0819107591221253"	"0.190421467445203"	"-0.142058092606267"	"0.099024996750286"	"0.160605313572833"	"-0.618289551060823"	"0.0297951135619397"	"-0.22618112260661"	"0.235301756326687"	"0.0396368825331785"	"0.100854800138561"	"-0.0468068561811855"	"-0.124235577908598"	"-0.0618012839649819"	"0.0204085935493179"	"0.00957489669230106"	"0.00412472935592121"	"-0.0167380998698596"	"-0.0416377936346935"	"3.01800223140214e-09"
"bio30"	"-0.251713297345374"	"0.000526543496793139"	"-0.103752607602987"	"0.168278841078434"	"0.100233103404992"	"0.0531532082008932"	"0.0121979386483337"	"0.307305702031351"	"-0.233656046449102"	"-0.0211937945228547"	"0.312064537669801"	"0.23977970880952"	"0.0989277577392926"	"-0.110327612615942"	"-0.167491243860865"	"0.0325305753654997"	"0.491646059673419"	"-0.0178205059513299"	"-0.00144222405409019"	"0.0916395857130079"	"-0.0836536726880503"	"0.107026244986793"	"0.468225041431501"	"-0.197820237031365"	"-0.0415365138813114"	"0.0113230898645647"	"-1.33248470790329e-10"
"bio31"	"0.186061177077398"	"0.110480492985611"	"0.320406692984756"	"-0.29747477181629"	"-0.260963670644452"	"-0.0250200468702688"	"-0.0688497721121877"	"0.304066010531771"	"0.435041616858251"	"0.338336381142025"	"0.431480240576303"	"0.247387753034726"	"0.0989086644380567"	"-0.126615769318071"	"-0.0466999159022074"	"0.0659065250147408"	"-0.105496427557934"	"0.00761456161818156"	"0.00866392670839639"	"-0.0246694987113564"	"0.0231531327547194"	"-0.0123900445783419"	"0.00871277557134974"	"0.00161213053816541"	"0.00332958257846901"	"0.00109256324263921"	"4.14807575054982e-09"
"bio32"	"-0.239456537946006"	"0.0809664609085532"	"0.0841768734838733"	"-0.133350576205452"	"-0.303099482452968"	"0.103962180121144"	"0.208601468704379"	"0.0916840938341845"	"0.0971822086346576"	"-0.0525318198675784"	"-0.168688718823071"	"-0.0323596780104042"	"-0.0563114279220578"	"0.262570127501698"	"0.147721623914694"	"-0.0312693443962693"	"0.169863122281553"	"0.0403177354982619"	"-0.00523486043684106"	"0.103303322450413"	"-0.0345804774322201"	"-0.0523139029971254"	"0.313528053597186"	"0.6781218976727"	"-0.127737955448274"	"-0.0210172860687418"	"3.77215539364797e-09"
"bio33"	"-0.25417565463803"	"0.00887376798809554"	"-0.106992042595666"	"0.156788284469595"	"0.0800270018998293"	"0.0564883212328435"	"0.0344198428281693"	"0.272945323071174"	"-0.218215907024357"	"-0.0236643309636059"	"0.222581285371176"	"0.154587751478193"	"0.0837719497443929"	"-0.0497072169234217"	"-0.107878958196628"	"0.146371155671122"	"0.0266935798311415"	"-0.0462524846874667"	"-0.000493902990912039"	"-0.254354803359246"	"0.235538088672032"	"-0.307319238947282"	"-0.546298714683136"	"0.363847722486832"	"0.0371274854448093"	"-0.0126661279499895"	"-4.2754014031501e-09"
"bio34"	"-0.252279717354617"	"-0.00944636329237515"	"-0.104829627580276"	"0.126343529389586"	"0.147440598250438"	"0.14116790776949"	"0.0658375338944528"	"0.237620163312096"	"-0.0648555350766086"	"0.228325005506405"	"0.204693518788989"	"0.0856170074996512"	"-0.201680377319555"	"0.329574491570068"	"0.203864063561063"	"-0.32081698418064"	"-0.408832378167908"	"-0.0514919892209815"	"0.0531167967569728"	"0.12737418401852"	"-0.342830783883272"	"0.28335070526001"	"-0.13640117163267"	"-0.0324403638374642"	"-0.0340790465887811"	"-0.00464198888932513"	"1.49444051497701e-09"
"bio35"	"-0.226525571375347"	"0.118814851216995"	"0.0517056999813037"	"-0.0891606034650596"	"-0.364064949785799"	"0.00322333585857215"	"0.199036574543077"	"0.128117606034672"	"-0.070216269179981"	"-0.351325311000825"	"-0.0536077726018282"	"-0.161218946582839"	"-0.025575449950361"	"-0.555278447350415"	"-0.256017911851328"	"-0.122257810680284"	"-0.186930862835578"	"-0.0538230062372788"	"0.0152879579644206"	"0.126465711749187"	"-0.237552371166723"	"0.19864889787673"	"-0.172885076883605"	"-0.0374024590704387"	"-0.0858725773951158"	"-0.00591923124413604"	"-3.15321186586418e-09"
"bio4"	"-0.0197796581760859"	"-0.331686770102944"	"-0.181123704773898"	"-0.258310383432918"	"-0.124949631257661"	"-0.135059611027381"	"-0.217511715671089"	"0.0697461328439751"	"-0.0277404069653061"	"-0.0183494017727014"	"0.0351744200008182"	"0.0178687124690989"	"-0.451734497563913"	"0.0467676060099626"	"-0.153228817793803"	"0.00381459651865125"	"0.0846325501634345"	"-0.173922718841314"	"0.408658589323725"	"0.271296385877963"	"0.144780185471494"	"-0.0777592460430372"	"-0.0491298162573485"	"0.0196179396826563"	"0.0824796120579805"	"0.396233429511406"	"-1.94420323738729e-08"
"bio5"	"0.197852775879165"	"0.198350910875701"	"-0.238440870965593"	"-0.102991768360344"	"-0.154207036160355"	"-0.116261513513559"	"-0.0817718625701003"	"0.151110746971783"	"-0.178590983917432"	"0.0325487834576266"	"-0.18383283352242"	"0.134584405359092"	"0.0413220187381849"	"0.0208034516592758"	"0.020791360195317"	"-0.039000705791489"	"0.0205865692536381"	"0.221253795378069"	"0.317245790611584"	"-0.436069118745885"	"-0.248879484882479"	"0.09198213857673"	"0.0470013561212519"	"0.0380433676800955"	"0.140974076497633"	"0.0400457726079357"	"0.512409235639146"
"bio6"	"0.10572929435298"	"0.328724137017721"	"0.0423306668597198"	"0.157398641148922"	"-0.0601670954717399"	"0.0957943521318734"	"-0.0665614695565759"	"-0.016111672338932"	"-0.052668460762342"	"0.0429841775182486"	"-0.126234065940289"	"0.101562513489483"	"0.0332570407338245"	"-0.0261793328586024"	"-0.00510656131238373"	"-0.0919200820377057"	"0.0481236787013975"	"0.033192219950182"	"0.48975719309669"	"-0.113773198903967"	"-0.0629598254691254"	"0.014954076467199"	"0.00836080642403776"	"0.0288261902247153"	"0.152738855880231"	"-0.00193624617692281"	"-0.714790281883429"
"bio7"	"0.0542247559088352"	"-0.280149006287515"	"-0.32029099391367"	"-0.347278231318465"	"-0.0756625441185804"	"-0.269043149953039"	"0.0119278164698882"	"0.186890015338237"	"-0.113177346844841"	"-0.0295133840611026"	"-0.00833470295155007"	"-0.00763470671058984"	"-0.00545881301832428"	"0.0617159384633716"	"0.0300542791823696"	"0.0960625237405005"	"-0.0501113203851286"	"0.188360808329768"	"-0.393992980921851"	"-0.298617773420622"	"-0.173396630966446"	"0.0765728158820362"	"0.0380468343584599"	"-0.00233415119273693"	"-0.0776156308268399"	"0.0460228853359044"	"-0.475932377714219"
"bio8"	"0.108152026177157"	"0.0899371649706216"	"-0.564903471693284"	"0.0194928088477286"	"-0.246581296234533"	"0.413119172728091"	"-0.0831311782624362"	"-0.264744341744995"	"0.252156363292268"	"-0.263480026434584"	"0.428284274322277"	"-0.108076925417864"	"0.111625992014456"	"0.100899276867941"	"0.0203379100276921"	"0.023418155164149"	"-9.70028595902591e-05"	"0.0166431989063545"	"0.00819815361560052"	"-0.00482418010267956"	"-0.0118853418904807"	"0.00139638767524563"	"-0.00227008235406169"	"0.00197731166926571"	"0.00359840190495414"	"0.000151960759249406"	"1.28268776109989e-09"
"bio9"	"0.133456320219341"	"0.295333573298013"	"0.118714474638074"	"0.0372806887666525"	"-0.0205272914640783"	"-0.164375340718658"	"-0.0926146639050816"	"0.21187277347041"	"-0.22241247608547"	"0.0855300238367635"	"0.305297293337933"	"-0.767197129993366"	"-0.135493282233671"	"0.138308800960087"	"0.0176456442770743"	"0.0733756386570866"	"0.118889738964568"	"0.0483926949364953"	"-0.00277563517095639"	"0.00426639938987314"	"0.0132728315071436"	"-0.00819151294325403"	"-0.00255906064214334"	"0.00220841838865778"	"0.00743634670635754"	"0.000381941877992176"	"-2.02041865731329e-09"
